Address,Address2,Price,Bed,Bath,Sqft,Date,Time
3900 NW 76th Ave Apt 214,"Sunrise, FL 33351",196000,2,2,1030,01/02/24,01:55AM 
2701 E Sunrise Lakes Dr Apt 312,"Sunrise, FL 33322",136999,2,2,"850
 ",01/02/24,01:55AM 
8430 Via Leonessa,"Boca Raton, FL 33433",535000,3,2,1700,01/02/24,01:55AM 
8532 NW 9th Pl Unit 8532,"Plantation, FL 33324",289750,2,2,1460,01/02/24,01:55AM 
4629 Poinciana St Apt 407,"Lauderdale By The Sea, FL 33308",375000,2,2,1180,01/02/24,01:55AM 
3900 Oaks Clubhouse Dr Apt 101,"Pompano Beach, FL 33069",290000,3,2,1500,01/02/24,01:55AM 
861 N Bel Air Dr,"Plantation, FL 33317",549000,3,2,1752,01/02/24,01:55AM 
1201 NW 192nd Ln,"Pembroke Pines, FL 33029",649000,3,2,1483,01/02/24,01:55AM 
1800 NW 55th Ave Unit U3,"Lauderhill, FL 33313",170000,3,2,1350,01/02/24,01:55AM 
9273 SW 8th St Apt 214,"Boca Raton, FL 33428",299900,2,2,1125,01/02/24,01:55AM 
111 Lake Emerald Dr Apt 302,"Oakland Park, FL 33309",172500,2,2,"920
 ",01/02/24,01:55AM 
2262 NW 4th St,"Pompano Beach, FL 33069",325000,2,1,"773
 ",01/02/24,01:55AM 
367 SW 32nd Ter,"Deerfield Beach, FL 33442",510000,3,2,1543,01/02/24,01:55AM 
799 NE 34th Ct,"Oakland Park, FL 33334",979000,9,1,5600,01/02/24,01:55AM 
2200 S Cypress Bend Dr Apt 802,"Pompano Beach, FL 33069",275000,2,2,1399,01/02/24,01:55AM 
3896 NW 4th St,"Lauderhill, FL 33311",434900,3,2,1448,01/02/24,01:55AM 
5200 NW 18th St Unit 1T,"Lauderhill, FL 33313",170000,3,2,1350,01/02/24,01:55AM 
4220 Inverrary Blvd Apt 98B,"Lauderhill, FL 33319",158500,2,2,1096,01/02/24,01:55AM 
3330 Spanish Moss Ter Apt 103,"Lauderhill, FL 33319",198900,2,2,1200,01/02/24,01:55AM 
