Address,Address2,Price,Bed,Bath,Sqft,Date,Time
10155 NW 24th Pl Apt 102,"Sunrise, FL 33322",200000,2,2,1370,01/02/24,01:55AM 
11861 NW 36th Pl,"Sunrise, FL 33323",475000,3,2,1179,01/02/24,01:55AM 
4313 NW 95th Way,"Sunrise, FL 33351",490000,3,2,1622,01/02/24,01:55AM 
2871 E Sunrise Lakes Dr Apt 212,"Sunrise, FL 33322",90000,2,2,"850
 ",01/02/24,01:55AM 
8671 NW 24th St,"Sunrise, FL 33322",438000,4,2,1438,01/02/24,01:55AM 
8881 Sunrise Lakes Blvd Apt 312,"Sunrise, FL 33322",125000,2,2,"850
 ",01/02/24,01:55AM 
2681 N Flamingo Rd Unit 2308S,"Sunrise, FL 33323",450000,3,3,1546,01/02/24,01:55AM 
655 Woodgate Cir Unit C,"Sunrise, FL 33326",458750,3,2,1400,01/02/24,01:55AM 
9163 NW 25th Ct,"Sunrise, FL 33322",355000,3,2,1432,01/02/24,01:55AM 
8200 Sunrise Lakes Blvd Apt 101,"Sunrise, FL 33322",140000,2,2,"850
 ",01/02/24,01:55AM 
9380 Sunrise Lakes Blvd Apt 110,"Sunrise, FL 33322",129900,2,2,"850
 ",01/02/24,01:55AM 
11740 NW 30th Pl,"Sunrise, FL 33323",525000,4,2,1762,01/02/24,01:55AM 
3050 E Sunrise Lakes Dr Apt 322,"Sunrise, FL 33322",149900,2,2,"924
 ",01/02/24,01:55AM 
2900 NW 125th Ave Apt 3-419,"Sunrise, FL 33323",362000,2,2,1159,01/02/24,01:55AM 
9641 Sunrise Lakes Blvd Apt 211,"Sunrise, FL 33322",103000,2,2,"850
 ",01/02/24,01:55AM 
2560 NW 103rd Ave Apt 106,"Sunrise, FL 33322",208000,2,2,1255,01/02/24,01:55AM 
1871 NW 63rd Ave,"Sunrise, FL 33313",507500,4,2,1683,01/02/24,01:55AM 
2786 NW 104th Ave Apt 209,"Sunrise, FL 33322",100000,2,2,"860
 ",01/02/24,01:55AM 
5881 NW 16th Pl Apt 224,"Sunrise, FL 33313",158000,2,2,1321,01/02/24,01:55AM 
6817 NW 29th St,"Sunrise, FL 33313",387500,3,2,1058,01/02/24,01:55AM 
3247 NW 122nd Ave,"Sunrise, FL 33323",637500,5,2,2400,01/02/24,01:55AM 
9894 Nob Hill Ln Unit 9894,"Sunrise, FL 33351",224000,1,1,"744
 ",01/02/24,01:55AM 
6841 NW 24th Ct,"Sunrise, FL 33313",450000,3,2,1562,01/02/24,01:55AM 
9561 NW 32nd Ct,"Sunrise, FL 33351",535,3,2,1882,01/02/24,01:55AM 
4025 N Nob Hill Rd Apt 106,"Sunrise, FL 33351",220000,2,2,1074,01/02/24,01:55AM 
10422 NW 24th Pl Apt 402,"Sunrise, FL 33322",200000,2,2,1130,01/02/24,01:55AM 
8370 NW 20th Ct,"Sunrise, FL 33322",560000,4,2,1768,01/02/24,01:55AM 
10155 NW 24th Pl Apt 402,"Sunrise, FL 33322",179000,2,2,1370,01/02/24,01:55AM 
2602 NW 103rd Ave Apt 206,"Sunrise, FL 33322",259900,2,2,1255,01/02/24,01:55AM 
2551 NW 103rd Ave Apt 107,"Sunrise, FL 33322",249900,2,2,1255,01/02/24,01:55AM 
2793 NW 104th Ave Apt 206,"Sunrise, FL 33322",90000,1,1,"570
 ",01/02/24,01:55AM 
2748 NW 104th Ave Apt 305,"Sunrise, FL 33322",125000,2,2,"810
 ",01/02/24,01:55AM 
9999 Summerbreeze Dr Apt 705,"Sunrise, FL 33322",285000,2,2,1024,01/02/24,01:55AM 
11421 NW 41st St,"Sunrise, FL 33323",570000,4,2,2100,01/02/24,01:55AM 
5945 Del Lago Cir Apt 204,"Sunrise, FL 33313",140000,2,2,1090,01/02/24,01:55AM 
10433 Sunrise Lakes Blvd Apt 405,"Sunrise, FL 33322",170000,2,2,1134,01/02/24,01:55AM 
7911 NW 41st Ct Unit 7911,"Sunrise, FL 33351",345000,2,2,"954
 ",01/02/24,01:55AM 
11331 NW 32nd Pl,"Sunrise, FL 33323",480000,3,2,1418,01/02/24,01:55AM 
9469 NW 39th Pl,"Sunrise, FL 33351",402000,3,2,1764,01/02/24,01:55AM 
2291 NW 81st Ave,"Sunrise, FL 33322",462000,3,2,1655,01/02/24,01:55AM 
7460 S Aragon Blvd,"Sunrise, FL 33313",420000,2,2,1452,01/02/24,01:55AM 
